Slice,X,Y,Distance
2,550,743,586.267
2,425,745,471.858
2,455,760,505.3959
2,497,756,541.9087
2,384,754,439.6044
2,418,771,477.5825
2,510,771,559.8759
2,528,784,581.6528
2,353,783,428.5534
2,470,787,530.951
2,397,784,465.9882
2,500,796,561.7259
2,368,808,455.245
2,419,817,502.2848
2,487,811,557.324
2,455,818,533.2063
2,396,815,482.1214
2,215,824,356.2036
2,349,830,453.7632
2,39,878,340.2426
2,185,843,355.0127
2,500,829,577.5128
2,285,833,408.7469
2,375,834,476.5092
2,320,842,440.0045
2,461,845,552.7622
2,281,858,424.3642
2,489,858,583.3052
2,437,865,544.6044
2,409,854,515.6326
2,372,861,491.3502
2,238,876,411.7524
2,351,863,477.001
2,204,881,397.3626
2,164,877,374.7866
2,400,873,520.47
2,343,878,481.5527
2,123,878,359.6846
2,267,882,433.8813
2,319,889,472.8234
2,296,888,456.8588
2,453,888,571.2381
2,357,908,512.7114
2,403,906,544.3942
2,144,909,396.1023
2,437,911,573.2451
2,255,905,445.2527
2,224,930,449.751
2,282,916,470
2,313,914,487.6936
2,90,943,412.9274
2,336,933,517.0542
2,58,923,387.3668
2,183,920,421.7689
2,27,949,409.8902
2,195,945,449.4997
2,264,937,476.7651
2,391,934,555.0829
2,147,952,437.4391
2,297,943,500.6176
2,365,943,543.7224
2,422,942,582.8276
2,402,945,570.6391
2,273,964,504.2866
2,317,964,529.4006
2,379,972,574.6869
2,239,965,487.592
2,219,982,493.2798
2,42,982,443.991
2,70,982,447.5087
2,101,985,456.3179
2,343,992,567.409
2,160,990,477.5982
2,141,989,470.6187
2,88,1000,468.3418
2,264,1008,537.3267
2,53,1001,464.0366
2,311,1012,565.2477
2,179,995,488.9438
2,33,1012,473.1522
2,6,1007,467.0385
2,71,1019,484.2334
2,129,1013,490.2754
2,179,1017,509.4801
2,215,1019,525.039
2,161,1034,519.5739
2,13,1028,488.1731
2,232,1046,556.6507
2,45,1046,507.997
2,86,1044,511.2847
2,293,1046,584.7093
2,108,1056,527.1812
2,135,1052,529.4988
2,15,1062,522.2155
2,168,1055,541.7093
2,269,1056,581.9081
2,76,1062,527.5036
2,42,1073,534.6522
2,177,1074,562.57
3,81,62,484.8144
3,53,63,479.9354
3,17,61,479.3016
3,167,89,480.9262
3,23,90,450.5874
3,78,98,448.8296
3,106,103,449.6721
3,14,109,431.2273
3,61,115,429.3553
3,149,112,453.1942
3,181,114,462.8574
3,201,130,456.6191
3,50,136,407.0823
3,113,139,416.6173
3,86,150,399.3695
3,289,152,483.8026
3,67,155,390.7864
3,171,151,424.9259
3,177,176,404.753
3,136,163,400.7805
3,93,175,376.6617
3,204,186,408.5731
3,38,175,366.9728
3,131,178,384.974
3,322,180,482.9948
3,52,185,358.7882
3,93,200,352.4897
3,145,196,373.3109
3,15,197,343.3278
3,121,198,362.774
3,68,206,340.8519
3,300,210,445.9821
3,336,219,464.6902
3,252,220,407.3131
3,119,216,345.1623
3,200,225,373.1287
3,226,231,382.8276
3,303,236,429.2144
3,110,237,322.3492
3,165,246,337.1365
3,136,242,327.5668
3,358,244,464.5213
3,195,249,350.2942
3,272,259,391.0818
3,247,263,371.1307
3,347,264,443.3791
3,71,268,281.1139
3,182,266,328.9377
3,130,269,300.5678
3,310,275,407.8296
3,238,280,352.4826
3,288,283,385.9961
3,215,285,333.5416
3,177,292,304.6851
3,345,289,426.6451
3,255,287,359.213
3,270,295,364.5888
3,363,307,431.3444
3,341,310,411.3162
3,222,315,316.0838
3,295,316,370.4065
3,416,319,471.0594
3,262,315,345.3534
3,440,314,494.6473
3,319,326,384.1315
3,363,332,418.3695
3,464,329,509.7225
3,385,338,434.7747
3,294,340,355.5784
3,345,343,397.2833
3,472,350,508.8064
3,333,363,377.118
3,417,354,456.6016
3,379,363,418.2942
3,493,361,524.4902
3,358,370,396.313
3,403,376,435.0919
3,446,380,473.8312
3,469,384,494.2641
3,423,416,440.8004
3,516,418,530.2264
3,367,411,389.0116
3,451,416,467.736
3,474,418,489.4487
3,455,441,465.6458
3,495,436,505.8073
3,498,459,504.5443
3,444,469,449.641
3,532,476,535.8358
3,503,494,505.099
3,467,506,468.2361
3,559,511,559.7517
3,535,512,535.7322
3,507,525,507.2218
3,492,536,492.0163
