time index	time	ROI Number	ROI Area	ROI Perimeter	ROI Major Axis	ROI Minor Axis	ROI Center row	ROI Center col	ROI Eccentricity	ROI Solidity	ROI Convex Area	ROI Compactness	ROI MeanI_ch1	ROI MeanI_ch2	ROI MeanI_ch3	ROI MeanI_ch4	ROI MeanI_I ch5	ROI Corr ch1 vs 2	ROI Corr ch1 vs 3	ROI Corr ch1 vs 4	ROI Corr ch1 vs 5	ROI Corr ch2 vs 3	ROI Corr ch2 vs 4	ROI Corr ch2 vs 5	ROI Corr ch3 vs 4	ROI Corr ch3 vs 5	ROI Corr ch4 vs 5	NumPatches	PatchPop Perc. Area 	PatchPop Av. Area	PatchPop Av. Length	PatchPop Av. Min. Axis	PatchPop Av. Eccentricity	PatchPop Av. Angle	PatchPop Stdev Angle	PatchPop Av. Perimeter	PatchPop Av. Convex Area	PatchPop Av. Solidity	PatchPop Av. Compactness	PatchPop Av. Dist. Border	PatchPopMean Av. Dist. Center	PatchPop Av. MeanI_ch1	PatchPop Stdev MeanI_ch1	PatchPop Av. MaxI_ch1	PatchPop Av. MeanI_ch2	PatchPop Stdev MeanI_ch2	PatchPop Av. MaxI_ch2	PatchPop Av. MeanI_ch3	PatchPop Stdev MeanI_ch3	PatchPop Av. MaxI_ch3	PatchPop Av. MeanI_ch4	PatchPop Stdev MeanI_ch4	PatchPop Av. MaxI_ch4	PatchPop Av. MeanI_ch5	PatchPop Stdev MeanI_ch5	PatchPop Av. MaxI_ch5	PatchPop MeanI_ch1	PatchPop MeanI_ch2	PatchPop MeanI_ch3	PatchPop MeanI_ch4	PatchPop MeanI_ch5	PatchPop Corr ch1 vs 2	PatchPop Corr ch1 vs 3	PatchPop Corr ch1 vs 4	PatchPop Corr ch1 vs 5	PatchPop Corr ch2 vs 3	PatchPop Corr ch2 vs 4	PatchPop Corr ch2 vs 5	PatchPop Corr ch3 vs 4	PatchPop Corr ch3 vs 5	PatchPop Corr ch4 vs 5	PatchPop MeanICorr ch1 vs 2	PatchPop MeanICorr ch1 vs 3	PatchPop MeanICorr ch1 vs 4	PatchPop MeanICorr ch1 vs 5	PatchPop MeanICorr ch2 vs 3	PatchPop MeanICorr ch2 vs 4	PatchPop MeanICorr ch2 vs 5	PatchPop MeanICorr ch3 vs 4	PatchPop MeanICorr ch3 vs 5	PatchPop MeanICorr ch4 vs 5	ROI Velocity	ROI trace ID	Averaged Roi Size	Average Roi Velocity	Roi Path Length	Roi Displacement	Directional Persistence
45	13506077.000000	1	2938.577148	237.960495	39.018604	24.687384	326	544	0.367292	1.065231	3130.263916	1.238316	28.121077	13.076487				0.221760										54	1.528002	0.831509	0.656093	0.333927	0.453655	12.388889	62.368780	2.922826	0.616787	0.551099	0.903225	2.555203	30.207040	257.602498	51.156283	549.203704	43.941511	21.103599	116.055556										267.108189	50.789277				0.198874										0.399596										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
46	13804374.000000	1	2929.495605	238.755859	39.360847	24.427853	327	545	0.379387	1.070509	3136.050537	1.244379	26.071634	11.922714				0.235056										47	1.415944	0.882554	0.695137	0.354878	0.456807	-3.978723	61.438371	3.119907	0.640795	0.576340	0.919653	2.296830	30.890841	247.580977	46.165837	541.936170	46.430293	18.074377	127.021277										252.887981	51.812627				0.212576										0.431978										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
47	14106073.000000	1	2962.231934	245.427170	39.636372	24.465401	329	546	0.382754	1.084182	3211.598389	1.272062	27.359613	12.785578				0.233031										56	1.671230	0.884030	0.678917	0.332909	0.515998	8.107143	62.404452	3.005687	0.673960	0.538401	0.861640	2.680899	31.469788	243.172593	47.547094	529.803571	48.936179	22.657696	123.607143										249.436006	51.969284				0.220244										0.609306										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
48	14404426.000000	1	2994.799072	251.749115	40.215820	24.474821	331	545	0.391413	1.095523	3280.872070	1.297715	26.588217	12.593210				0.213473										53	1.369554	0.773875	0.620867	0.338495	0.438104	-9.132075	60.320630	2.767292	0.540756	0.537001	0.901905	2.324784	32.117161	247.514741	36.190884	541.867925	41.472238	16.613905	105.660377										265.419159	48.033986				0.158195										0.381681										0.002055	1	2798.637853	0.001183	25.546492	10.406934	0.407372
49	14704415.000000	1	3004.472168	248.283997	40.656055	24.293665	334	545	0.402459	1.100572	3306.638916	1.277791	26.017532	12.258969				0.216917										54	1.297661	0.721997	0.609329	0.321058	0.435623	4.407407	58.594068	2.731650	0.494760	0.524260	0.910141	2.421583	31.791327	247.656800	35.329781	535.388889	51.425805	21.230295	124.259259										256.670639	56.141928				0.091459										0.256435										0.001370	1	2798.637853	0.001183	25.546492	10.406934	0.407372
50	15004413.000000	1	3014.018555	258.346466	41.227341	23.975817	334	547	0.418449	1.119503	3374.202393	1.327470	26.495655	12.678126				0.220920										47	0.836674	0.536542	0.518515	0.261600	0.475153	6.297872	63.507588	2.200206	0.341967	0.451028	0.824813	2.264375	32.037815	318.404689	53.707209	574.297872	52.147248	26.130722	119.148936										320.375208	58.324959				0.140250										0.130626										0.001370	1	2798.637853	0.001183	25.546492	10.406934	0.407372
51	15304457.000000	1	3021.917480	258.683502	41.573994	23.785273	336	547	0.427881	1.111314	3358.298584	1.327463	25.999609	12.545239				0.226088										46	1.291567	0.848480	0.687883	0.337023	0.486952	6.760870	61.243479	3.102036	0.637278	0.560014	0.923574	2.310019	32.472983	254.668076	41.409119	543.847826	55.287569	29.569000	139.673913										260.962122	58.020564				0.231777										0.260789										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
52	15604393.000000	1	3029.182861	255.179337	41.879780	23.605375	337	546	0.436354	1.097179	3323.555664	1.307910	25.114637	12.220420				0.211705										41	1.061174	0.784022	0.678697	0.317723	0.531362	-8.219512	61.892048	2.927823	0.553246	0.551273	0.906287	2.374673	32.879819	268.578503	43.693619	569.317073	51.886827	23.130304	129.902439										274.837060	57.716162				0.223650										0.166473										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
53	15906030.000000	1	3050.091797	254.969696	41.957554	23.776377	337	546	0.433323	1.100391	3356.292236	1.302348	27.077955	13.348203				0.220469										40	1.289331	0.983144	0.786177	0.349943	0.521165	-26.875000	49.784761	3.389254	0.754518	0.587903	0.981305	2.339081	32.323842	276.814907	40.260883	589.450000	52.144811	27.597807	136.675000										285.114928	59.388827				0.234567										-0.019093										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
54	16206089.000000	1	3021.241699	253.709824	42.495876	23.280512	338	547	0.452170	1.104628	3337.347656	1.302086	26.260567	12.714925				0.208839										44	1.087732	0.746886	0.618630	0.312048	0.451540	-3.431818	62.802532	2.755618	0.548645	0.516263	0.897573	2.325876	34.096493	297.830696	42.528347	556.840909	53.518289	24.727852	128.181818										304.163236	58.602825				0.127839										0.097475										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
55	16504413.000000	1	3029.605225	255.954163	43.044392	22.911221	340	548	0.467730	1.098127	3326.892578	1.311790	24.809895	11.943184				0.234817										36	1.015016	0.854194	0.701951	0.327128	0.498075	-7.083333	58.548820	3.064999	0.638885	0.558224	0.945226	2.411646	32.624787	298.521136	45.441396	572.000000	54.078677	27.969672	145.138889										304.322802	60.458789				0.130903										-0.060318										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
56	16806070.000000	1	3065.720703	256.681702	43.389500	23.028023	339	548	0.469272	1.098405	3367.402100	1.307747	26.356293	12.643955				0.224490										43	1.122930	0.800602	0.681124	0.319209	0.511513	-19.186047	51.252529	2.927052	0.586945	0.555732	0.930482	2.393433	33.920733	300.432253	53.836171	603.162791	49.347189	21.685103	123.046512										305.818405	57.338650				0.229749										0.137134										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
57	17104430.000000	1	3097.062988	261.365601	43.346146	23.295443	340	549	0.462572	1.107938	3431.353271	1.324855	25.102823	11.907310				0.222960										36	1.088380	0.936328	0.728189	0.354762	0.502879	-12.694444	55.514127	3.240495	0.677606	0.572320	0.961567	2.420738	33.062382	290.344145	51.614403	604.472222	50.554138	23.168284	136.722222										294.963657	54.281955				0.135628										0.386129										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
58	17404398.000000	1	3103.483643	260.206482	43.413715	23.269348	340	550	0.464009	1.103992	3426.221680	1.317615	25.589979	12.600283				0.265794										43	1.101100	0.794708	0.636849	0.316110	0.520621	-12.139535	55.762072	2.811863	0.568771	0.512346	0.888541	2.362404	32.188804	307.888941	73.982868	611.023256	60.061666	38.591852	149.534884										303.828186	63.750308				0.346345										0.564083										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
59	17704380.000000	1	3100.526855	261.034729	43.643639	23.202335	342	551	0.468368	1.104936	3425.883057	1.322439	23.578009	10.928041				0.232368										43	1.212501	0.874277	0.688350	0.340614	0.487671	-1.651163	61.960388	3.025226	0.643920	0.564299	0.896948	2.432635	34.620735	256.061648	47.152087	534.790698	50.641192	25.656508	127.279070										262.351688	54.086516				0.194212										0.147626										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
60	18004502.000000	1	3121.646973	260.313324	43.490078	23.371067	341	551	0.462611	1.088773	3398.765137	1.314315	24.979797	11.357500				0.232214										40	1.243539	0.970472	0.727200	0.366081	0.476099	-6.150000	62.096513	3.298875	0.722310	0.587457	0.962305	2.345447	33.158749	257.570848	54.864775	608.950000	55.356097	27.981922	146.100000										270.626764	53.017409				0.232418										0.245330										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
61	18304376.000000	1	3109.186035	256.492645	43.392746	23.312185	342	551	0.462763	1.088035	3382.903564	1.297617	23.611042	10.878069				0.222909										38	1.213200	0.992648	0.724187	0.384025	0.459903	-13.105263	57.839381	3.337719	0.733093	0.602647	0.969874	2.203808	32.695960	245.185830	43.955410	536.868421	52.007640	24.104984	139.368421										258.759240	52.283315				0.175682										0.192152										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
62	18604498.000000	1	3103.652588	258.305389	43.437725	23.267828	341	552	0.464341	1.082714	3360.368652	1.307953	22.982048	10.725285				0.247981										39	1.124177	0.894629	0.728646	0.328879	0.545890	-2.846154	64.003511	3.140679	0.646602	0.554591	0.894406	2.253018	33.181738	255.702813	42.480107	559.205128	51.827602	31.581614	132.128205										270.175543	56.289347				0.175996										0.322763										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
63	18906040.000000	1	3093.937256	253.689270	43.007458	23.466530	340	553	0.454361	1.081984	3347.590332	1.286594	22.861126	10.817861				0.240525										28	0.901073	0.995666	0.740934	0.373403	0.439661	-16.392857	53.041102	3.324580	0.742978	0.592310	0.942561	2.235329	33.517726	274.747119	46.015858	574.285714	53.615279	24.177809	145.035714										294.410608	59.199999				0.286425										0.573854										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
64	19204386.000000	1	3084.348633	256.445374	42.912598	23.528193	340	552	0.451718	1.099378	3390.866211	1.302591	22.439995	10.101521				0.259239										34	1.173667	1.064705	0.787296	0.382938	0.489116	-11.705882	56.899448	3.509393	0.790143	0.608322	0.976698	2.196720	32.258425	246.515483	42.737966	529.147059	51.257129	22.466645	142.970588										265.416567	56.063008				0.127954										0.622278										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
65	19504398.000000	1	3074.126465	262.058258	43.031200	23.501585	340	552	0.453848	1.119880	3442.651855	1.333313	22.720942	10.318027				0.247330										39	1.265510	0.997522	0.776040	0.373767	0.506418	-12.230769	57.504902	3.494129	0.728375	0.618736	0.997667	2.270127	33.252683	244.354272	35.108073	555.102564	47.215259	19.645066	138.307692										249.426709	51.521174				0.209614										0.185946										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
66	19804412.000000	1	3094.190674	263.305786	42.819069	23.808537	339	554	0.443973	1.127846	3489.771973	1.335310	21.632570	9.518620				0.211603										39	1.235461	0.980193	0.738969	0.381664	0.441472	-5.410256	59.260228	3.446964	0.720252	0.604079	1.001678	2.475312	31.860675	225.847622	40.921693	487.948718	40.020605	18.501951	109.051282										236.123760	42.482872				0.109546										0.264608										0.001938	1	2798.637853	0.001183	25.546492	10.406934	0.407372
67	20104378.000000	1	3097.189697	262.315155	42.256058	24.129847	337	556	0.428961	1.125165	3484.850342	1.329641	21.967091	9.581510				0.217332										39	1.303820	1.035430	0.741998	0.386852	0.453831	-1.512821	57.233534	3.446963	0.801484	0.607059	0.952837	2.317081	31.622731	228.640187	38.876743	504.846154	41.228709	15.940582	113.692308										232.890168	43.235356				0.251163										0.434748										0.002055	1	2798.637853	0.001183	25.546492	10.406934	0.407372
68	20404392.000000	1	3102.681152	258.810974	41.542702	24.526539	334	556	0.409607	1.120390	3476.212158	1.310718	21.824677	9.528107				0.210890										44	1.181708	0.833287	0.626970	0.360129	0.432297	-7.568182	62.430761	2.948203	0.605765	0.563859	0.908032	2.661586	31.171627	242.596969	44.356813	503.545455	39.408682	19.564274	105.727273										249.972351	43.069124				0.295844										0.125743										0.003064	1	2798.637853	0.001183	25.546492	10.406934	0.407372
69	20706090.000000	1	3074.886963	262.228821	40.570358	24.911495	330	558	0.385968	1.114225	3426.115234	1.334016	23.315544	10.701490				0.211537										44	1.255581	0.877448	0.656689	0.367073	0.447833	-10.500000	55.995639	3.037420	0.646085	0.560210	0.903313	2.721884	29.898229	241.001999	42.754213	540.545455	39.811467	22.127079	112.931818										248.717725	43.095186				0.069954										0.466503										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
70	21004388.000000	1	3081.898926	258.272461	40.445412	25.028603	330	557	0.381176	1.104981	3405.439941	1.312393	24.906841	11.579789				0.221999										43	1.211606	0.868383	0.672634	0.355729	0.446349	-15.651163	52.029700	3.115036	0.638517	0.565160	0.962770	2.363650	29.950964	270.934940	48.743689	557.813953	48.238565	22.506942	120.418605										283.243213	50.069004				0.150491										0.309169										0.003064	1	2798.637853	0.001183	25.546492	10.406934	0.407372
71	21306040.000000	1	3121.266846	260.105774	39.946938	25.663889	326	559	0.357551	1.116777	3485.759766	1.313347	22.955448	10.650657				0.189084										46	1.115126	0.756653	0.613392	0.332340	0.432570	8.760870	59.242697	2.800764	0.532596	0.538350	0.911334	2.343617	29.975956	257.825170	37.973778	525.173913	42.945759	22.528906	107.173913										256.578883	43.610437				0.163115										0.086449										0.004387	1	2798.637853	0.001183	25.546492	10.406934	0.407372
72	21604384.000000	1	3073.070557	252.671921	38.266796	26.174303	321	563	0.316005	1.098987	3377.264160	1.285777	23.186470	11.001003				0.214133										53	1.417143	0.821695	0.649163	0.355311	0.428283	9.867925	58.627913	3.061580	0.581403	0.578446	0.971477	2.690431	29.613450	230.603907	42.995921	523.622642	41.905134	20.390541	115.339623										240.616882	44.252184				0.225778										0.522790											1	2798.637853	0.001183	25.546492	10.406934	0.407372
