time index	time	ROI Number	ROI Area	ROI Perimeter	ROI Major Axis	ROI Minor Axis	ROI Center row	ROI Center col	ROI Eccentricity	ROI Solidity	ROI Convex Area	ROI Compactness	ROI MeanI_ch1	ROI MeanI_ch2	ROI MeanI_ch3	ROI MeanI_ch4	ROI MeanI_I ch5	ROI Corr ch1 vs 2	ROI Corr ch1 vs 3	ROI Corr ch1 vs 4	ROI Corr ch1 vs 5	ROI Corr ch2 vs 3	ROI Corr ch2 vs 4	ROI Corr ch2 vs 5	ROI Corr ch3 vs 4	ROI Corr ch3 vs 5	ROI Corr ch4 vs 5	NumPatches	PatchPop Perc. Area 	PatchPop Av. Area	PatchPop Av. Length	PatchPop Av. Min. Axis	PatchPop Av. Eccentricity	PatchPop Av. Angle	PatchPop Stdev Angle	PatchPop Av. Perimeter	PatchPop Av. Convex Area	PatchPop Av. Solidity	PatchPop Av. Compactness	PatchPop Av. Dist. Border	PatchPopMean Av. Dist. Center	PatchPop Av. MeanI_ch1	PatchPop Stdev MeanI_ch1	PatchPop Av. MaxI_ch1	PatchPop Av. MeanI_ch2	PatchPop Stdev MeanI_ch2	PatchPop Av. MaxI_ch2	PatchPop Av. MeanI_ch3	PatchPop Stdev MeanI_ch3	PatchPop Av. MaxI_ch3	PatchPop Av. MeanI_ch4	PatchPop Stdev MeanI_ch4	PatchPop Av. MaxI_ch4	PatchPop Av. MeanI_ch5	PatchPop Stdev MeanI_ch5	PatchPop Av. MaxI_ch5	PatchPop MeanI_ch1	PatchPop MeanI_ch2	PatchPop MeanI_ch3	PatchPop MeanI_ch4	PatchPop MeanI_ch5	PatchPop Corr ch1 vs 2	PatchPop Corr ch1 vs 3	PatchPop Corr ch1 vs 4	PatchPop Corr ch1 vs 5	PatchPop Corr ch2 vs 3	PatchPop Corr ch2 vs 4	PatchPop Corr ch2 vs 5	PatchPop Corr ch3 vs 4	PatchPop Corr ch3 vs 5	PatchPop Corr ch4 vs 5	PatchPop MeanICorr ch1 vs 2	PatchPop MeanICorr ch1 vs 3	PatchPop MeanICorr ch1 vs 4	PatchPop MeanICorr ch1 vs 5	PatchPop MeanICorr ch2 vs 3	PatchPop MeanICorr ch2 vs 4	PatchPop MeanICorr ch2 vs 5	PatchPop MeanICorr ch3 vs 4	PatchPop MeanICorr ch3 vs 5	PatchPop MeanICorr ch4 vs 5	ROI Velocity	ROI trace ID	Averaged Roi Size	Average Roi Velocity	Roi Path Length	Roi Displacement	Directional Persistence
10	3004491.000000	1	2536.195557	222.959229	35.137577	23.653870	321	515	0.326821	1.095666	2778.824219	1.248904	17.813015	5.329902				0.197428										48	0.999301	0.528004	0.531997	0.260004	0.501221	-3.520833	62.382823	2.239233	0.333523	0.429861	0.875833	2.388212	28.897389	202.632997	45.434631	380.562500	24.167309	12.326308	68.604167										201.014996	26.456667				0.072946										0.449160										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
11	3304364.000000	1	2546.966797	220.566925	35.132668	23.739132	320	515	0.324300	1.090104	2776.458740	1.232889	17.988506	5.622618				0.204374										41	0.898884	0.558397	0.577256	0.263493	0.502724	-9.634146	55.789227	2.407044	0.358013	0.477624	0.887190	2.302982	28.447411	219.446424	38.239400	391.073171	29.473169	12.071938	79.756098										214.586710	31.407749				0.132791										0.347112										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
12	3604440.500000	1	2543.418701	218.875458	35.105156	23.676428	320	515	0.325557	1.085986	2762.118408	1.224287	19.803049	6.320811				0.205953										24	0.802152	0.850087	0.783950	0.305284	0.582366	-7.625000	57.044462	3.324275	0.647685	0.584461	0.982552	2.274340	28.529689	251.171319	25.125061	465.125000	33.295110	12.986607	97.458333										252.242239	36.026915				0.042477										0.309384										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
13	3906107.300000	1	2536.998291	218.996735	35.002483	23.636553	319	516	0.324718	1.078986	2737.386230	1.226514	21.288923	7.149714				0.208032										37	1.093888	0.750052	0.673723	0.323790	0.477312	9.972973	55.784549	2.954388	0.530288	0.566919	0.960444	2.246639	28.144535	247.557665	35.559124	496.432432	31.478549	11.624031	89.027027										252.054793	35.112633				0.107869										0.304570										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
14	4204389.000000	1	2539.490479	217.716309	35.025841	23.649330	318	517	0.324803	1.078693	2739.329346	1.218745	18.481903	6.036161				0.210737										28	0.888224	0.805584	0.693703	0.344886	0.477740	-0.107143	56.822230	3.162363	0.575525	0.586849	0.963267	2.304789	29.277130	228.545030	30.759471	473.607143	30.191805	11.598777	87.357143										226.586139	32.041198				0.252743										0.172410										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
15	4504372.000000	1	2560.061523	216.503708	35.082779	23.798460	317	518	0.321648	1.069200	2737.217773	1.207078	19.448166	6.219991				0.220024										35	1.123633	0.821877	0.680420	0.299056	0.536975	16.828571	60.299003	2.971298	0.608261	0.500288	0.900214	2.343197	28.181284	226.362270	31.079706	440.600000	30.769006	16.531345	80.600000										223.882529	31.033774				0.041625										0.486126										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
16	4804354.500000	1	2556.048584	218.006104	35.163071	23.701982	316	519	0.325941	1.071102	2737.787598	1.216408	19.881462	6.670197				0.172008										34	1.042768	0.783931	0.663584	0.276440	0.605247	6.147059	65.511568	2.803597	0.560927	0.471766	0.870621	2.262039	28.547511	210.227765	36.646302	425.558824	28.397033	17.203013	77.147059										212.255148	28.784469				0.218843										0.080428										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
17	5104424.500000	1	2581.815186	222.642746	35.480099	23.728662	314	520	0.331212	1.073239	2770.903809	1.236064	20.940708	7.365859				0.181987										41	1.251595	0.788143	0.680455	0.326113	0.501081	-6.097561	60.651383	3.007376	0.587759	0.571962	0.949962	2.302726	28.430662	213.311535	30.067267	419.536585	28.282106	16.794916	77.414634										216.792158	28.415688				0.158681										0.489922										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
18	5406035.000000	1	2597.613037	221.841202	35.339382	23.820925	312	521	0.325938	1.078899	2802.562988	1.227863	22.844461	8.237235				0.175110										50	1.255366	0.652191	0.589853	0.299701	0.469172	5.140000	61.873805	2.595036	0.436765	0.508152	0.910231	2.262518	28.589655	237.173934	39.016902	463.680000	29.359665	13.514423	81.460000										239.809584	30.283679				0.161678										0.563055										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
19	5704379.500000	1	2608.215332	222.083725	35.345367	23.891850	311	522	0.324046	1.078085	2811.877197	1.226705	23.636599	8.630816				0.193671										43	1.316663	0.798637	0.671979	0.347926	0.434480	-22.162791	55.636546	3.069820	0.569754	0.581212	0.973142	2.220114	28.388823	231.834001	32.520727	518.744186	33.775567	16.267089	97.162791										229.129151	32.500614				0.079826										0.491899										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
